job_exp.dm | applied=10 skipped=0 changed=True
job_types/roguetown/Inquisition/orthoclasses/arbalist.dm | applied=1 skipped=2 changed=True
job_types/roguetown/Inquisition/orthoclasses/psyalmist.dm | applied=19 skipped=1 changed=True
job_types/roguetown/Inquisition/orthoclasses/sojourner.dm | applied=1 skipped=6 changed=True
job_types/roguetown/Inquisition/orthodoxist.dm | applied=1 skipped=1 changed=True
job_types/roguetown/Inquisition/puritan.dm | applied=31 skipped=3 changed=True
job_types/roguetown/Inquisition/puritanclasses/arbiter.dm | applied=2 skipped=6 changed=True
job_types/roguetown/Inquisition/puritanclasses/inspector.dm | applied=6 skipped=1 changed=True
job_types/roguetown/Inquisition/puritanclasses/ordinator.dm | applied=5 skipped=1 changed=True
job_types/roguetown/adventurer/assassin.dm | applied=0 skipped=0 changed=False
job_types/roguetown/adventurer/bandit.dm | applied=7 skipped=0 changed=True
job_types/roguetown/adventurer/pilgrim.dm | applied=1 skipped=1 changed=True
job_types/roguetown/adventurer/trader.dm | applied=1 skipped=1 changed=True
job_types/roguetown/adventurer/types/antag/Iconoclast.dm | applied=2 skipped=1 changed=True
job_types/roguetown/adventurer/types/antag/assassin/hitman.dm | applied=4 skipped=1 changed=True
job_types/roguetown/adventurer/types/antag/assassin/poisoner.dm | applied=4 skipped=2 changed=True
job_types/roguetown/adventurer/types/antag/assassin/ranger.dm | applied=8 skipped=1 changed=True
job_types/roguetown/adventurer/types/antag/hedgeknight.dm | applied=7 skipped=1 changed=True
job_types/roguetown/adventurer/types/antag/knave.dm | applied=5 skipped=1 changed=True
job_types/roguetown/adventurer/types/antag/pioneer.dm | applied=17 skipped=4 changed=True
job_types/roguetown/adventurer/types/antag/roguemage.dm | applied=1 skipped=1 changed=True
job_types/roguetown/adventurer/types/antag/sawbones.dm | applied=1 skipped=1 changed=True
job_types/roguetown/adventurer/types/antag/sellsword.dm | applied=5 skipped=3 changed=True
job_types/roguetown/adventurer/types/combat/foreigner/avar.dm | applied=2 skipped=2 changed=True
job_types/roguetown/adventurer/types/combat/foreigner/grenzelhoft.dm | applied=6 skipped=6 changed=True
job_types/roguetown/adventurer/types/combat/foreigner/gronn.dm | applied=5 skipped=8 changed=True
job_types/roguetown/adventurer/types/combat/foreigner/naledi.dm | applied=1 skipped=3 changed=True
job_types/roguetown/adventurer/types/combat/foreigner/otava.dm | applied=0 skipped=7 changed=False
job_types/roguetown/adventurer/types/combat/foreigner/slavers.dm | applied=1 skipped=4 changed=True
job_types/roguetown/adventurer/types/combat/foreigner/zybantu.dm | applied=7 skipped=9 changed=True
job_types/roguetown/adventurer/types/combat/mage.dm | applied=37 skipped=4 changed=True
job_types/roguetown/adventurer/types/combat/noble.dm | applied=42 skipped=3 changed=True
job_types/roguetown/adventurer/types/combat/ranger.dm | applied=18 skipped=4 changed=True
job_types/roguetown/adventurer/types/combat/rare/heartfelt.dm | applied=0 skipped=3 changed=False
job_types/roguetown/adventurer/types/combat/rare/heartfelthand.dm | applied=0 skipped=3 changed=False
job_types/roguetown/adventurer/types/combat/rogue.dm | applied=26 skipped=4 changed=True
job_types/roguetown/adventurer/types/combat/warrior.dm | applied=146 skipped=8 changed=True
job_types/roguetown/adventurer/types/migrant/heartfelt/heartfelthand.dm | applied=6 skipped=13 changed=True
job_types/roguetown/adventurer/types/migrant/heartfelt/heartfeltknight.dm | applied=26 skipped=6 changed=True
job_types/roguetown/adventurer/types/migrant/heartfelt/heartfeltlord.dm | applied=34 skipped=27 changed=True
job_types/roguetown/adventurer/types/migrant/heartfelt/retinue/heartfeltarmorer.dm | applied=9 skipped=3 changed=True
job_types/roguetown/adventurer/types/migrant/heartfelt/retinue/heartfeltcourtier.dm | applied=0 skipped=3 changed=False
job_types/roguetown/adventurer/types/migrant/heartfelt/retinue/heartfeltjester.dm | applied=0 skipped=3 changed=False
job_types/roguetown/adventurer/types/migrant/heartfelt/retinue/heartfeltmagos.dm | applied=0 skipped=4 changed=False
job_types/roguetown/adventurer/types/migrant/heartfelt/retinue/heartfeltphyscian.dm | applied=0 skipped=4 changed=False
job_types/roguetown/adventurer/types/migrant/heartfelt/retinue/heartfeltprior.dm | applied=0 skipped=4 changed=False
job_types/roguetown/adventurer/types/migrant/heartfelt/retinue/heartfeltwarriors.dm | applied=10 skipped=218 changed=True
job_types/roguetown/adventurer/types/migrant/heartfelt/retinue/heartfeltworkers.dm | applied=0 skipped=3 changed=False
job_types/roguetown/adventurer/types/migrant/heartfelt/retinue/retinue.dm | applied=0 skipped=1 changed=False
job_types/roguetown/adventurer/types/migrant/slavers/slaver_master.dm | applied=5 skipped=3 changed=True
job_types/roguetown/adventurer/types/migrant/slavers/slaver_mercenary.dm | applied=16 skipped=3 changed=True
job_types/roguetown/adventurer/types/migrant/slavers/slaver_slave.dm | applied=22 skipped=7 changed=True
job_types/roguetown/adventurer/types/pilgrim/artificer.dm | applied=0 skipped=0 changed=False
job_types/roguetown/adventurer/types/pilgrim/barbersurgeon.dm | applied=0 skipped=0 changed=False
